,precision,recall,f1-score,support
146,0.2857142857142857,0.4,0.3333333333333333,5.0
147,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
148,0.0,0.0,0.0,2.0
149,0.5,0.25,0.3333333333333333,4.0
150,0.5,0.6666666666666666,0.5714285714285714,3.0
151,1.0,0.3333333333333333,0.5,3.0
152,1.0,0.3333333333333333,0.5,6.0
153,0.3333333333333333,0.2,0.25,5.0
154,1.0,1.0,1.0,3.0
155,0.6666666666666666,0.5,0.5714285714285714,4.0
156,0.75,1.0,0.8571428571428571,3.0
157,0.75,0.75,0.75,8.0
158,0.0,0.0,0.0,1.0
159,0.6,0.75,0.6666666666666666,4.0
160,0.3333333333333333,0.5,0.4,2.0
161,0.5,0.25,0.3333333333333333,4.0
162,1.0,1.0,1.0,2.0
163,0.0,0.0,0.0,2.0
164,0.0,0.0,0.0,1.0
165,0.0,0.0,0.0,1.0
166,0.0,0.0,0.0,1.0
167,0.5,0.5,0.5,2.0
168,0.0,0.0,0.0,3.0
169,1.0,1.0,1.0,1.0
170,0.5,0.6666666666666666,0.5714285714285714,3.0
171,0.0,0.0,0.0,3.0
172,1.0,0.5,0.6666666666666666,2.0
173,0.2,0.5,0.2857142857142857,2.0
174,0.5,0.3333333333333333,0.4,3.0
175,0.5,0.6666666666666666,0.5714285714285714,3.0
176,0.0,0.0,0.0,1.0
177,0.0,0.0,0.0,0.0
178,0.0,0.0,0.0,1.0
179,0.5,1.0,0.6666666666666666,1.0
180,0.0,0.0,0.0,2.0
181,0.25,1.0,0.4,2.0
182,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
183,1.0,1.0,1.0,2.0
184,0.3333333333333333,0.5,0.4,2.0
185,0.0,0.0,0.0,2.0
186,1.0,0.5,0.6666666666666666,2.0
187,0.0,0.0,0.0,1.0
189,1.0,0.5,0.6666666666666666,2.0
190,0.5,0.5,0.5,2.0
191,0.0,0.0,0.0,2.0
192,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
193,0.0,0.0,0.0,0.0
194,1.0,0.5,0.6666666666666666,2.0
195,0.0,0.0,0.0,0.0
196,0.0,0.0,0.0,1.0
197,0.0,0.0,0.0,2.0
198,0.0,0.0,0.0,0.0
199,0.0,0.0,0.0,1.0
200,0.5,1.0,0.6666666666666666,1.0
201,0.5,1.0,0.6666666666666666,1.0
202,0.0,0.0,0.0,1.0
203,0.0,0.0,0.0,3.0
204,0.0,0.0,0.0,1.0
205,1.0,1.0,1.0,1.0
207,0.25,1.0,0.4,1.0
